dummy_lng_data (2),,,,,,,,,,,,,,,,,,
"Order Number (REQUIRED FIELD PLEASE FILL IN HERE)","Order Description (REQUIRED FIELD PLEASE FILL IN HERE)","Weight of Order (g/kg) (REQUIRED FIELD PLEASE FILL IN HERE)","Quantity (REQUIRED FIELD PLEASE FILL IN HERE)","Pickup Date (dd-MM-yyyy) (REQUIRED FIELD PLEASE FILL IN HERE)","Pickup Address Line 1 (REQUIRED FIELD PLEASE FILL IN HERE)",Pickup Address Line 2,"Pickup Postal Code (REQUIRED FIELD PLEASE FILL IN HERE)","Delivery Date (dd-MM-yyyy) (REQUIRED FIELD PLEASE FILL IN HERE)","Delivery Address Line 1 (REQUIRED FIELD PLEASE FILL IN HERE)",Delivery Address Line 2,"Delivery Postal Code (REQUIRED FIELD PLEASE FILL IN HERE)","Customer First Name (REQUIRED FIELD PLEASE FILL IN HERE)","Customer Last Name (REQUIRED FIELD PLEASE FILL IN HERE)","Customer Email (REQUIRED FIELD PLEASE FILL IN HERE)","Customer Phone Number (REQUIRED FIELD PLEASE FILL IN HERE)",Customer Company,Merchant Name,Approval Status
N12345678,1 Carton of water,500g,1,10/1/21,123 Raffles Place,,101111,11/01/2021,123 City Hall,,546090,Aaron 1,Lo,aaron.lo@mail.com,12345678,,Merchant 1,
N12345679,1 Carton of water,500g,1,10/1/21,127 Raffles Place,,101111,11/01/2021,124 City Hall,,308215,Aaron 2,Lo,aaron.lo@mail.com,12345679,,Merchant 2,
N12345680,1 Carton of water,500g,1,10/1/21,131 Raffles Place,,101111,11/01/2021,125 City Hall,,101111,Aaron 3,Lo,aaron.lo@mail.com,12345680,,Merchant 3,
N12345681,3 Cartons of water,500g,1,10/1/21,135 Raffles Place,,101111,11/01/2021,126 City Hall,,189931,Aaron 4,Lo,aaron.lo@mail.com,12345681,,Merchant 1,
N12345682,1 Carton of water,1kg,2,10/1/21,139 Raffles Place,,101111,11/01/2021,127 City Hall,,189927,Aaron 5,Lo,aaron.lo@mail.com,12345682,,Merchant 2,
N12345683,1 Carton of water,500g,1,10/1/21,143 Raffles Place,,101111,11/01/2021,128 City Hall,,320002,Aaron 6,Lo,aaron.lo@mail.com,12345683,,Merchant 3,
N12345684,2 Carton of water,500g,3,10/1/21,147 Raffles Place,,101111,11/01/2021,129 City Hall,,459713,Aaron 7,Lo,aaron.lo@mail.com,12345684,,Merchant 1,
N12345685,1 Carton of water,500g,1,10/1/21,151 Raffles Place,,101111,11/01/2021,130 City Hall,,648886,Aaron 8,Lo,aaron.lo@mail.com,12345685,,Merchant 2,
N12345686,1 Carton of water,500g,1,10/1/21,250 Raffles Place,,101111,11/01/2021,131 City Hall,,598194,Aaron 9,Lo,aaron.lo@mail.com,12345686,,Merchant 3,
N12345687,3 Cartons of water,500g,1,10/1/21,147 Raffles Place,,101111,11/01/2021,132 City Hall,,111120,Aaron 10,Lo,aaron.lo@mail.com,12345687,,Merchant 1,
N12345688,3 Cartons of water,500g,1,10/1/21,151 Raffles Place,,101111,11/01/2021,133 City Hall,,111121,Aaron 11,Lo,aaron.lo@mail.com,12345688,,Merchant 2,
